identifier,from,to,library,link,contents,schema,schema-location,anthol-lat-485c,anthol-lat-668,anthol-lat-719c,anthol-lat-806,suetonius-vita,ps-vacca-vita,prose-argumentum,scholia
Bern. Cod. 45,,,Bern Bürgerbibliothek,https://www.e-codices.unifr.ch/en/list/one/bbb/0045,,yes,f.28ra; 41rb; 44v,,yes,,,yes,,book 1,
Bern. Cod. 363,0851,0875,Bern Bürgerbibliothek,https://archive.org/details/CodexBernensis363/page/n137/mode/2up,,,,yes (f.28r),,,,,,,
Bern. Cod. 370,,,Bern Bürgerbibliothek,https://www.e-codices.unifr.ch/en/list/one/bbb/0370,,yes,,,,yes,,,,yes,
Cod. Bodmer 108,,,Fondation Bodmer,https://www.e-codices.unifr.ch/en/list/one/fmb/cb-0108/,,,,,,,,,,,
Cod. Bodmer 182,,,Fondation Bodmer,https://www.e-codices.unifr.ch/en/list/one/fmb/cb-0182/,,,,,,,,,yes,yes,
Cod. Sang. 864,,,Sankt Gallen Stiftsbibliothek,https://www.e-codices.unifr.ch/en/list/one/csg/0864,,,,,,,,,,,
Cod. 335 (1237),,,Stiftbibliothek Einsiedeln,https://w3id.org/vhmml/readingRoom/view/65351,fragments,,,,,,,,,,
Arch.Cap.S.Pietro.H.17,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.H.17,,,,,yes,,,,,,yes
Barb. lat. 36,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Barb.lat.36,,yes,69r,,,,,,,,yes
Barb. lat. 37,1201,1400,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Barb.lat.37,books 1-10,,,,,,yes,,,,
Barb. lat. 50,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Barb.lat.50,,,,,,,,,,,
Barb. lat. 59,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Barb.lat.59,,,,,,,,,,,yes
Barb. lat. 66,1201,1400,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Barb.lat.66,,,,,yes,,yes,,,,
Borg. lat. 375,,,Biblioteca Vaticana,,,,,,,,,,,,
Ott. lat. 1210,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Ott.lat.1210,,yes,14v...,,,,,,,,
Ott. lat. 1497,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Ott.lat.1497,,yes,112r,,yes (6 lines),,,,,,yes
Ott. lat. 1951,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Ott.lat.1951,,yes,95v,,,,,,,,
Ott. lat. 2872,1455,1455,Biblioteca Vaticana,,,,,,yes,,,,,,
Pal. lat. 24,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.24,6.21-61; 228-67; 7.458-537.,,,,,,,,,,
Pal. lat. 869,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.869,fragments (book 2...),,,,,,,,,,yes
Pal. lat. 1678,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1678,,,,,yes (4 lines),,,,,yes (book 4...),yes
Pal. lat. 1679,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1679,,,,,yes (4 lines),,,,,,
Pal.lat. 1680,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1680,,no?,,,yes,,,,,yes,yes
Pal. lat. 1681,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1681,,,,,,,,,,,
Pal. lat. 1682,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1682,,,,,yes,,,,,,yes
Pal. lat. 1683,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1683,,,,,,,,,,,yes
Pal. lat. 1684,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1684,,,,,yes (8 lines),,,,,,no
Pal. lat. 1685,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1685,,,,,,,,,,,yes
Pal. lat. 1686,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1686,,,,,,,,,,,yes
Pal. lat. 1687,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Pal.lat.1687,,,,,,,,,,,yes
Reg. lat. 1403,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.1403,,,,,,,,,yes,,yes
Reg.lat. 1543,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Reg.lat.1543,,,,,yes,,,,,,yes
Reg. lat. 1554,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.1554,,,,,yes (4 lines),,,,,,
Reg. lat. 1634,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.1634,,yes,21r,,yes (extended version ? f.62r),,,yes,,,
Reg. lat. 1802,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.1802,,,,,,,,,,,no
Reg. lat. 1879,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.1879,,,,,,,,,,,no
Reg. lat. 2069,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.2069,,,,,yes,,,,,,yes
Reg. lat. 2070,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.2070,,,,,yes,,,,,,no
Reg. lat. 2080,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Reg.lat.2080,fragments,,,,,,,,,,
Ross. 959,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Ross.959,,,,,yes,,,,,? book 7; 8...,yes
Ross. 1043,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Ross.1043,,,,,yes,,,,,,yes
Urb. lat. 656,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Urb.lat.656,,no?,,,yes,,,,,,no
Vat. lat. 1519,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.1519,no,,,,,,,,,,yes
Vat. lat. 1619,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Vat.lat.1619,,no?,,,yes,,,,,,no
Vat. lat. 1620,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Vat.lat.1620,,no?,,,yes,,,,,,yes
Vat. lat. 1621,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Vat.lat.1621,,,,,,,,,,,yes
Vat. lat. 1622,,,Biblioteca Vaticana,https://opac.vatlib.it/mss/detail/Vat.lat.1622,,,,,yes,,,,,,
Vat. lat. 1623,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.1623,,,,,,,,,,,yes
Vat. lat. 1769,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.1769,no,,,,,,,,,,
Vat. lat. 2796,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2796,,yes,51v,,,,,,,,yes
Vat. lat. 2797,1401,1500,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2797,,,,,,,yes,,,,
Vat. lat. 2798,1375,1400,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2798,,,,,yes (4 lines),,yes,,,,yes
Vat. lat. 2799,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2799,,,,,,,,,,,
Vat. Lat. 2800,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2800,,,,,yes,,,,,,yes
Vat. lat. 2801,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2801,,,,,yes,,,,,,
Vat. lat. 2802,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2802,,,,,yes,,,,,,yes
Vat. lat. 2803,,,Biblioteca Vaticana,,,,,,,,yes,,,,
Vat. lat. 2804,1350,1400,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2804,,,,,yes,,yes,,,books 7; 8; 9,
Vat. lat. 2805,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2805,,,,,yes,,,,,,
Vat. lat. 2806,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2806,,,,,,,,,,,
Vat. lat. 2940,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.2940,fragment,,,,,,,,,,
Vat. lat. 3284,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.3284,,,,,,,,,,,yes
Vat. lat. 3285,,,Biblioteca Vaticana,https://digi.vatlib.it/mss/detail/Vat.lat.3285,,,,,,,,,,,
Vat. Lat. 5755,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.5755,8.60-254,,,,,,,,,,no
Vat. lat. 6323,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.6323,,,,,,,,,,,yes
Vat. lat. 11495,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.11495,,,,,,,,,,,yes
Vat. lat. 11559,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.11559,,,,,yes,,,,,,
Vat. lat. 14740,,,Biblioteca Vaticana,https://digi.vatlib.it/view/MSS_Vat.lat.14740,fragment,,,,,,,,,,
Plut.35.22,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/523488/rec/1,,,,,yes,,,,,,
Plut.35.6,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/638144/rec/2,,,,,yes,,,,,,
Plut.35.15,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/742448/rec/4,,,,,yes,,,,,,
Plut.35.7,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/557384/rec/5,,,,,yes,,,,,,
Plut.35.20,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/653362/rec/7,,,,,yes,,,,,,
Plut.35.13,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/468090/rec/8,,,,,yes,,,,,,
Plut.35.23,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/483045/rec/11,,,,,yes,,,,,,yes
Plut.35.4,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/636773/rec/13,,,,,yes,,,,,,
Plut.35.14,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/661605/rec/14,,,,,yes,,,,,,
Plut.35.8,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/622477/rec/18,,yes,,,yes,,,,,,
Plut.35.11,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/553158/rec/19,,,,,yes,,,,,,
Plut.35.2,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/585718/rec/20,,,,,yes,,,,,,
Plut.24 sin.3,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/564130/rec/28,,yes,83r,,yes,,,,,,
Plut.91 sup.32,1401,1500,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/918711/rec/38,,,,,yes,,,,,,
Plut.35.1,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/545558/rec/37,,,,,yes,,,,,yes,yes
Plut.35.17,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/718819/rec/6,,yes,56r,,,,,,,,yes
Plut.35.3,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/533882/rec/9,,yes,,,,,,,,,no
Plut.35.18,1201,1300,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/719355/rec/10,,yes,66r,,,,,,,,yes
Plut.35.10,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/589125/rec/12,,,,,,,,,,,
Plut.35.21,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/681404/rec/15,,,,,,,,,,,
Plut.35.9,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/463261/rec/17,,,,,,,,,,,
Plut.35.5,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/493671/rec/21,,,,,,,,,,,
Plut.35.12,,,Biblioteca Medicea Laurenziana,https://tecabml.contentdm.oclc.org/digital/collection/plutei/id/519231/rec/22,,,,,,,,,,,
